title,reference,doc_type,doc_type_label,published_date,last_modified,landing_url
CP25/27: Technical Annex 4: Market Impacts Methodology[pdf],,CP,Consultation papers,2025-10-07,,https://www.fca.org.uk/publication/consultation/cp25-27-technical-annex-4.pdf
CP25/27: Technical Annex 3: Market Impacts[pdf],,CP,Consultation papers,2025-10-07,,https://www.fca.org.uk/publication/consultation/cp25-27-technical-annex-3.pdf
"CP25/27: Technical Annex 1: Consumer Redress Scheme for Motor Finance - Data, Analysis of Loss and Liability and Cost Methodologies[pdf]",,CP,Consultation papers,2025-10-07,,https://www.fca.org.uk/publication/consultation/cp25-27-technical-annex-1.pdf
CP25/24: Quarterly Consultation Paper No. 49 – addendum[pdf],CP25/24,CP,Consultation papers,2025-09-30,,https://www.fca.org.uk/publication/consultation/cp25-24-addendum.pdf
CP25/26: Consequential Handbook changes following the proposals in CP25/17[pdf],CP25/26,CP,Consultation papers,2025-09-26,,https://www.fca.org.uk/publication/consultation/cp25-26.pdf
CP25/25: Application of FCA Handbook for Regulated Cryptoasset Activities[pdf],CP25/25,CP,Consultation papers,2025-09-17,,https://www.fca.org.uk/publication/consultation/cp25-25.pdf
Derivative reporting requirements under UK EMIR: Additional draft Q&As,,CP,Consultation papers,2025-08-08,2025-10-31,https://www.fca.org.uk/publications/consultation-papers/derivative-reporting-requirements-uk-emir-draft-questions-answers
CP25/23: Deferred Payment Credit (unregulated Buy Now Pay Later): proposed approach to regulation[pdf],CP25/23,CP,Consultation papers,2025-07-18,,https://www.fca.org.uk/publication/consultation/cp25-23.pdf
CP25/22: Modernising the redress system[pdf],CP25/22,CP,Consultation papers,2025-07-15,,https://www.fca.org.uk/publication/consultation/cp25-22.pdf
CP25/21: Senior Managers & Certification Regime review[pdf],CP25/21,CP,Consultation papers,2025-07-15,,https://www.fca.org.uk/publication/consultation/cp25-21.pdf
CP25/20: Consultation Paper on the SI regime for bonds and derivatives[pdf],CP25/20,CP,Consultation papers,2025-07-04,,https://www.fca.org.uk/publication/consultation/cp25-20.pdf
CP25/19: Ancillary Activities Test[pdf],CP25/19,CP,Consultation papers,2025-07-03,,https://www.fca.org.uk/publication/consultation/cp25-19.pdf
CP25/18: Tackling non-financial misconduct in financial services[pdf],CP25/18,CP,Consultation papers,2025-07-02,,https://www.fca.org.uk/publication/consultation/cp25-18.pdf
